name	path	assignment
haplotype2_from_utig4-1034	utig4-517+,utig4-520+,utig4-954-,utig4-895-,utig4-894+,utig4-833-,utig4-829-,utig4-831+,utig4-875-,utig4-876+,utig4-1243-,utig4-790-,utig4-786-,utig4-787+,utig4-1163+,utig4-841-,utig4-839+,utig4-843+,utig4-1299-,utig4-837-,utig4-834-,utig4-835+,utig4-1027+,utig4-1029+,utig4-498-,utig4-491-,utig4-487-,utig4-488+,utig4-1304+,utig4-1208-,utig4-1207-,utig4-720-,utig4-717-,utig4-719+,utig4-779-,utig4-781+,utig4-921-,utig4-904-,utig4-902+,utig4-905+,utig4-1285+,utig4-1038-,utig4-1037+,utig4-741-,utig4-738-,utig4-739+,utig4-1283+,utig4-963-,utig4-962-,utig4-133-,utig4-132+,utig4-136+,utig4-207+,utig4-209+,utig4-925-,utig4-926+,utig4-1082+,utig4-1035-,utig4-1031-,[N5000N:ambig_path],utig4-1034+,utig4-1210-,utig4-951-,utig4-950-,utig4-605-,utig4-603+,utig4-261-,utig4-259+,utig4-263+,utig4-1262+,utig4-850-,utig4-849+,utig4-852+,utig4-991+,utig4-228-,utig4-224-,utig4-226+,utig4-913-,utig4-914+,utig4-1256-,utig4-723-,utig4-722-,utig4-507-,utig4-504-,utig4-506+	HAPLOTYPE2
haplotype2_from_utig4-1090	utig4-1089-,[N277979N:tangle],utig4-1090+	HAPLOTYPE2
haplotype2_from_utig4-1216	utig4-1138-,utig4-1137+,utig4-1141+,utig4-1142+,utig4-1196-,utig4-969-,utig4-965-,utig4-966+,utig4-1215+,utig4-1216+,utig4-1288-,utig4-1286+,utig4-1290+	HAPLOTYPE2
haplotype2_from_utig4-1240	utig4-213-,utig4-211+,utig4-214+,utig4-1271+,utig4-204-,utig4-202+,utig4-206+,utig4-242+,utig4-256+,utig4-258+,utig4-1238+,utig4-1240+	HAPLOTYPE2
haplotype2_from_utig4-1295	utig4-1295-,utig4-1293+,utig4-1297+,utig4-1340-,[N1000N:ambig_bubble],utig4-1106-,[N1000N:ambig_bubble],utig4-1217-,[N1000N:ambig_bubble],utig4-368-,[N1000N:ambig_bubble],utig4-1030-	HAPLOTYPE2
haplotype2_from_utig4-1312	utig4-1310-,utig4-1309+,utig4-1312+,utig4-1445-,utig4-1276-,utig4-1275+,utig4-1278+,utig4-1253-,utig4-1252-,utig4-1250+,utig4-1212-,utig4-1211+,utig4-622-,[N96789N:tangle],utig4-382-,utig4-379-,utig4-380+,utig4-1249-,utig4-478-,utig4-476-,utig4-198-,utig4-197+,utig4-200+,utig4-1268-,utig4-1270+,utig4-1284+,utig4-539-,utig4-538-,utig4-485-,utig4-482-,utig4-484+,utig4-502-,utig4-297-,utig4-294-,utig4-295+,utig4-376-,utig4-377+,utig4-1342-,utig4-374-,utig4-373-,utig4-310-,utig4-309-,utig4-173-,utig4-172+,utig4-175+,utig4-1103+,utig4-1104+,utig4-1241-,utig4-1151-,utig4-1148-,utig4-1149+,utig4-1219-,utig4-1019-,utig4-1018+,utig4-995-,utig4-994+,utig4-998+,utig4-1303-,utig4-365-,utig4-363+,utig4-367+,utig4-1083-,utig4-1084+,utig4-1162+,utig4-300-,utig4-299+	HAPLOTYPE2
haplotype2_from_utig4-1346	utig4-981-,utig4-980+,utig4-982+,utig4-1346+	HAPLOTYPE2
haplotype2_from_utig4-1400	utig4-1399-,utig4-1397-,utig4-1398+,utig4-1400+	HAPLOTYPE2
haplotype2_from_utig4-1444	utig4-1444+	HAPLOTYPE2
haplotype2_from_utig4-220	utig4-222-,utig4-219-,utig4-220+,utig4-95-,utig4-93-,utig4-94+,utig4-1451-,utig4-1122-,utig4-1120-,utig4-1121+,[N6069N:ambig_bubble],utig4-1401-,[N1000N:ambig_bubble],utig4-59+,[N56548N:ambig_bubble],utig4-1406+,[N1000N:ambig_bubble],utig4-152+,[N1000N:ambig_bubble],utig4-1433+,[N1000N:ambig_bubble],utig4-1144-,[N26879N:ambig_bubble],utig4-546+,[N1000N:ambig_bubble],utig4-1408-,[N74187N:ambig_bubble],utig4-1353+,utig4-1357+,utig4-1446-,[N1000N:ambig_bubble],utig4-582+,[N1000N:ambig_bubble],utig4-463-,[N1000N:ambig_bubble],utig4-497+,[N1000N:ambig_bubble],utig4-402+,[N1000N:ambig_bubble],utig4-343-,[N21813N:ambig_bubble],utig4-1119-,[N1000N:ambig_bubble],utig4-1112-,[N1000N:ambig_bubble],utig4-1426+,[N1000N:ambig_bubble],utig4-348+,[N1000N:ambig_bubble],utig4-1347-,[N21181N:scaffold],utig4-72-,[N100000N:scaffold],utig4-1402-	HAPLOTYPE2
